ID Tipo Océano Prioridad Tiempo_SJF Tiempo_Maximo
1 Normal izquierda 5 2 0
2 Normal izquierda 1 3 6
3 Normal izquierda 5 2 4
4 Normal izquierda 8 7 5
5 Normal izquierda 6 9 4
6 Pesquero izquierda 1 3 6
7 Pesquero izquierda 2 5 4
8 Pesquero izquierda 9 5 7
9 Patrulla izquierda 6 3 5
10 Normal derecha 8 2 1
11 Pesquero derecha 6 4 5
12 Pesquero derecha 9 5 6
13 Pesquero derecha 7 4 3
14 Pesquero derecha 6 5 2
15 Pesquero derecha 1 4 6
16 Patrulla derecha 3 2 5
17 Patrulla derecha 9 6 3
18 Patrulla derecha 5 6 2
